,date,username,teks,sentiment
0,2021-08-08 03:44:01,vincimax,@GunduHuDuGa Is this sarcasm or satire or a genuinely toxic thread of a person who is deeply hurt? Just don't under… https://t.co/9TstjhwocA,positive
1,2021-08-08 03:43:53,jemeshek,RIP @itrevormoore. Your comedy shaped much of my sarcasm and helped me implement humor as a coping mechanism #WKUK,positive
2,2021-08-08 03:43:51,ruuuuup_cloud,@simpy_sarcasm IM RUNNING OUT NOOOO https://t.co/zhvdKdoTuJ,netral
3,2021-08-08 03:43:48,zingierelf,"@noavianna I FEEL LIKE THAT WAS SARCASM, BUT I CAN'T TELL/SRS",netral
4,2021-08-08 03:43:45,KlVeeresh,"RT @ShefVaidya: Hard, bahut hard. You should give a #sarcasm disclaimer :)",negative
5,2021-08-08 03:43:29,rajeevnadkarni1,"RT @ShefVaidya: Hard, bahut hard. You should give a #sarcasm disclaimer :)",negative
6,2021-08-08 03:43:13,SaniaAhmad1111,@mkkhaleel390 Sorry if you don't understand sarcasm.,negative
7,2021-08-08 03:43:03,zodopop,"sorry i havent been doing draws, im trying really hard not to turn this into a vent acc haha (sarcasm)",negative
8,2021-08-08 03:43:02,ia_sarcasm,"RT @Sharmajikaputtr: Boy after winning   Vs   Going to Tihar
Silver https://t.co/P07jCCQB5q",positive
9,2021-08-08 03:42:56,ShuFlyPie26,"RT @wanyinsmiles: after building a relationship based on mutual sarcasm and snark, tsundere twink and manipulative twink raise a child toge…",netral
10,2021-08-08 03:42:50,RyanAWagMMA,@AssuredFob I never sarcasm tag stuff but I can't have people thinking im a diaz fan - if you're a diaz fan who saw… https://t.co/dqqERvtRil,netral
11,2021-08-08 03:42:47,middledge,"@kazweida I wanted to say this but i was mommed, and in this case, cool.  ""Sarcasm is too easy"", not for me i guess https://t.co/aTjvD6nVJj",positive
12,2021-08-08 03:42:47,PurplePelican19,"@ranitaroy24 The funny thing is : We're so used to woke garbage, that we can't actually tell if it's sarcasm or it's for real.",positive
13,2021-08-08 03:42:43,AshishS37970857,"RT @ShefVaidya: Hard, bahut hard. You should give a #sarcasm disclaimer :)",negative
14,2021-08-08 03:42:37,qwackitie,@2321731a @Flfkfn3 no sarcasm here bay bee,netral
15,2021-08-08 03:42:20,ravinc1812,@AhmedArundhati Amazing sarcasm!! Well done,positive
16,2021-08-08 03:42:15,73ravipande,"RT @ShefVaidya: Hard, bahut hard. You should give a #sarcasm disclaimer :)",negative
17,2021-08-08 03:42:12,DigantaBJP,"RT @ShefVaidya: Hard, bahut hard. You should give a #sarcasm disclaimer :)",negative
18,2021-08-08 03:42:09,quite_sum,"RT @ajitdatta: Many did not get the sarcasm of this thread, because they actually trust woke degenerates to be perfectly capable of this. H…",positive
19,2021-08-08 03:42:09,amitdanilive,@prhntpnd @chachac75722907 @MotaSaajan @shivam423 @SandipAditya007 @AhmedArundhati @Sanjay_Dixit Just saying that i… https://t.co/wpbfSrM3j4,netral
20,2021-08-08 03:42:08,cremastercycles,"RT @toxbug: “Self deprecating jokes , sarcasm, dark humour” No you’re just uncomfortable to be around",negative
21,2021-08-08 03:42:07,kumarvishal093,"RT @ShefVaidya: Hard, bahut hard. You should give a #sarcasm disclaimer :)",negative
22,2021-08-08 03:42:03,simpy_sarcasm,@ruuuuup_cloud Fine 🙄,positive
23,2021-08-08 03:41:59,RuchirRMM,Few will get the not so subtle but extreme sarcasm. Loved the name of the handle though. Perfect bait for Wokes to… https://t.co/XYkysx6VQ7,positive
24,2021-08-08 03:41:39,_CodyMcFarland_,"@ShaneTHazel Is this person saying those ""powerful"" should be listened to because we should definitely listen to th… https://t.co/IEvqz0gZ9y",positive
25,2021-08-08 03:41:38,LEM0NWRY,rememebrs Sarcasm by get scared exists,netral
